influencer_name,platform,followers_count,engagement_avg,average_views,average_likes,average_comments,shares_avg
DanielSaboya,TikTok,NULL,NULL,NULL,NULL,NULL,1900
DanielSaboya,YouTube,NULL,NULL,33900,1600,20,NULL
davidguettavevo,TikTok,NULL,NULL,NULL,NULL,NULL,302
davidguettavevo,TikTok,NULL,NULL,NULL,NULL,NULL,807
davidguettavevo,YouTube,NULL,NULL,267400,8700,358,NULL
Denis,Instagram,12600000,709000,NULL,NULL,NULL,NULL
Denis,TikTok,NULL,NULL,NULL,NULL,NULL,2000
Denis,YouTube,NULL,NULL,194200,9100,461,NULL
"Desi Gamers",Instagram,4900000,1000000,NULL,NULL,NULL,NULL
"Desi Gamers",YouTube,NULL,NULL,727800,94700,3800,NULL
destinws2,TikTok,NULL,NULL,NULL,NULL,NULL,498
destinws2,YouTube,NULL,NULL,1900000,72200,4700,NULL
"Dobre Brothers",TikTok,NULL,NULL,NULL,NULL,NULL,2000
"Dobre Brothers",YouTube,NULL,NULL,284400,10200,381,NULL
EdisonPts,TikTok,NULL,NULL,NULL,NULL,NULL,603
EdisonPts,YouTube,NULL,NULL,2000000,153800,7600,NULL
efdewe,Instagram,18100000,278900,NULL,NULL,NULL,NULL
efdewe,YouTube,NULL,NULL,195000,11200,670,NULL
elrubius,Instagram,16200000,1500000,NULL,NULL,NULL,NULL
elrubius,YouTube,NULL,NULL,2300000,194600,2200,NULL
eltreceok,Instagram,11200000,496800,NULL,NULL,NULL,NULL
eltreceok,YouTube,NULL,NULL,3600,40,7,NULL
epicfortnite,Instagram,26100000,120300,NULL,NULL,NULL,NULL
epicfortnite,YouTube,NULL,NULL,321300,10300,433,NULL
erosentertainment,Instagram,7900000,1400000,NULL,NULL,NULL,NULL
erosentertainment,YouTube,NULL,NULL,64100,1000,31,NULL
failarmy,Instagram,39800000,789300,NULL,NULL,NULL,NULL
failarmy,YouTube,NULL,NULL,2200000,19900,642,NULL
fcbarcelona,Instagram,31800000,167400,NULL,NULL,NULL,NULL
fcbarcelona,Instagram,107100000,687900,NULL,NULL,NULL,NULL
fcbarcelona,YouTube,NULL,NULL,207500,13200,356,NULL
"Fede Vigevani",TikTok,NULL,NULL,NULL,NULL,NULL,721
"Fede Vigevani",YouTube,NULL,NULL,3000000,230200,9000,NULL
felipeneto,Instagram,23100000,487800,NULL,NULL,NULL,NULL
felipeneto,Instagram,15400000,236000,NULL,NULL,NULL,NULL
felipeneto,YouTube,NULL,NULL,280600,34000,245,NULL
filmigaane,TikTok,NULL,NULL,NULL,NULL,NULL,1100
filmigaane,YouTube,NULL,NULL,64500,631,33,NULL
Flamingo,TikTok,NULL,NULL,NULL,NULL,NULL,2300
Flamingo,YouTube,NULL,NULL,2100000,68300,7100,NULL
francinyehlke,Instagram,15200000,188600,NULL,NULL,NULL,NULL
francinyehlke,YouTube,NULL,NULL,197200,19200,629,NULL
FutPardias,TikTok,NULL,NULL,NULL,NULL,NULL,249
FutPardias,YouTube,NULL,NULL,1400000,110100,2500,NULL
Genierock,Instagram,18300000,927900,NULL,NULL,NULL,NULL
Genierock,Instagram,307000000,396000,NULL,NULL,NULL,NULL
Genierock,TikTok,NULL,NULL,NULL,NULL,NULL,492
Genierock,YouTube,NULL,NULL,16500,340,20,NULL
geonews,TikTok,NULL,NULL,NULL,NULL,NULL,9000
geonews,YouTube,NULL,NULL,3800,53,5,NULL
gmmgrammyofficial,Instagram,21700000,638000,NULL,NULL,NULL,NULL
gmmgrammyofficial,YouTube,NULL,NULL,2400,53,2,NULL
gordonramsay,TikTok,NULL,NULL,NULL,NULL,NULL,835
gordonramsay,YouTube,NULL,NULL,218100,7200,338,NULL
hamaarbhojpuri,Instagram,6200000,461500,NULL,NULL,NULL,NULL
hamaarbhojpuri,YouTube,NULL,NULL,13500,177,17,NULL
"Harsh Beniwal",Instagram,21500000,120000,NULL,NULL,NULL,NULL
"Harsh Beniwal",YouTube,NULL,NULL,11600000,1300000,55400,NULL
"Hindi Fairy Tales",Instagram,4000000,1100000,NULL,NULL,NULL,NULL
"Hindi Fairy Tales",YouTube,NULL,NULL,557200,9300,NULL,NULL
htbhakti,Instagram,14900000,248000,NULL,NULL,NULL,NULL
htbhakti,YouTube,NULL,NULL,101800,149,55,NULL
ibighit,Instagram,13000000,888500,NULL,NULL,NULL,NULL
ibighit,Instagram,13500000,2000000,NULL,NULL,NULL,NULL
ibighit,Instagram,11700000,804900,NULL,NULL,NULL,NULL
ibighit,TikTok,NULL,NULL,NULL,NULL,NULL,12200
ibighit,YouTube,NULL,NULL,401700,62300,2600,NULL
inventonahoratv,Instagram,5900000,447000,NULL,NULL,NULL,NULL
inventonahoratv,YouTube,NULL,NULL,1200000,152900,1700,NULL
jacksepticeye,Instagram,7700000,322300,NULL,NULL,NULL,NULL
jacksepticeye,TikTok,NULL,NULL,NULL,NULL,NULL,1900
jacksepticeye,YouTube,NULL,NULL,1900000,127600,5200,NULL
"James Charles",Instagram,23300000,432000,NULL,NULL,NULL,NULL
"James Charles",TikTok,NULL,NULL,NULL,NULL,NULL,752
"James Charles",TikTok,NULL,NULL,NULL,NULL,NULL,752
"James Charles",YouTube,NULL,NULL,1000000,54800,2200,NULL
JbalvinTube,Instagram,51900000,363000,NULL,NULL,NULL,NULL
JbalvinTube,YouTube,NULL,NULL,0,NULL,NULL,NULL
jeffreestar,TikTok,NULL,NULL,NULL,NULL,NULL,872
jeffreestar,YouTube,NULL,NULL,878500,36700,3200,NULL
"Jessica Jane",Instagram,6000000,582300,NULL,NULL,NULL,NULL
"Jessica Jane",Instagram,19300000,357900,NULL,NULL,NULL,NULL
"Jessica Jane",YouTube,NULL,NULL,826400,46200,1100,NULL
jordanmatter,Instagram,5900000,537800,NULL,NULL,NULL,NULL
jordanmatter,TikTok,NULL,NULL,NULL,NULL,NULL,417
jordanmatter,TikTok,NULL,NULL,NULL,NULL,NULL,3000
jordanmatter,YouTube,NULL,NULL,4900000,137000,12500,NULL
jpgameplayfull,Instagram,19200000,465100,NULL,NULL,NULL,NULL
jpgameplayfull,Instagram,9700000,1100000,NULL,NULL,NULL,NULL
jpgameplayfull,TikTok,NULL,NULL,NULL,NULL,NULL,915
jpgameplayfull,TikTok,NULL,NULL,NULL,NULL,NULL,915
jpgameplayfull,YouTube,NULL,NULL,112700,6000,207,NULL
jquintanac5,TikTok,NULL,NULL,NULL,NULL,NULL,19500
jquintanac5,TikTok,NULL,NULL,NULL,NULL,NULL,1600
jquintanac5,YouTube,NULL,NULL,835100,37500,10600,NULL
"Juanpa Zurita",Instagram,28600000,485800,NULL,NULL,NULL,NULL
"Juanpa Zurita",TikTok,NULL,NULL,NULL,NULL,NULL,782
"Juanpa Zurita",YouTube,NULL,NULL,1900000,149400,4200,NULL
jypentertainment,Instagram,10300000,2100000,NULL,NULL,NULL,NULL
jypentertainment,Instagram,9900000,2000000,NULL,NULL,NULL,NULL
jypentertainment,Instagram,8500000,1400000,NULL,NULL,NULL,NULL
jypentertainment,YouTube,NULL,NULL,2300000,455200,18400,NULL
"Karina Garcia",TikTok,NULL,NULL,NULL,NULL,NULL,513
