influencer_name,platform,followers_count,engagement_avg,average_views,average_likes,average_comments,shares_avg
whoisjimmy,TikTok,NULL,NULL,NULL,NULL,NULL,1500
whoisjimmy,YouTube,NULL,NULL,25500000,750300,5200,NULL
"Will Smith",Instagram,62400000,2400000,NULL,NULL,NULL,NULL
"Will Smith",TikTok,NULL,NULL,NULL,NULL,NULL,2000
"Will Smith",YouTube,NULL,NULL,332200,10500,5500,NULL
Willyrex,Instagram,8600000,385100,NULL,NULL,NULL,NULL
Willyrex,YouTube,NULL,NULL,147500,10000,96,NULL
WorkpointOfficial,Instagram,46200000,1400000,NULL,NULL,NULL,NULL
WorkpointOfficial,YouTube,NULL,NULL,10100,139,7,NULL
Wylsacom,TikTok,NULL,NULL,NULL,NULL,NULL,1100
Wylsacom,YouTube,NULL,NULL,946900,38800,6900,NULL
"Zach King",Instagram,24500000,637700,NULL,NULL,NULL,NULL
"Zach King",YouTube,NULL,NULL,1200000,82300,1000,NULL
zeetv,TikTok,NULL,NULL,NULL,NULL,NULL,12800
zeetv,YouTube,NULL,NULL,146200,1800,17,NULL
zncoficial,Instagram,21100000,212600,NULL,NULL,NULL,NULL
zncoficial,Instagram,14100000,240400,NULL,NULL,NULL,NULL
zncoficial,TikTok,NULL,NULL,NULL,NULL,NULL,604
zncoficial,TikTok,NULL,NULL,NULL,NULL,NULL,2100
zncoficial,TikTok,NULL,NULL,NULL,NULL,NULL,5900
zncoficial,TikTok,NULL,NULL,NULL,NULL,NULL,13700
zncoficial,YouTube,NULL,NULL,5300000,44000,643,NULL
